Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Status
acc--par-de-brazos,nan: Par de Brazos ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PAR-DE-BRAZOS,16600.0,shopify,9999,deny,active
acc--patas-cromadas,nan: Patas Cromadas,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATAS-CROMADAS,9000.0,shopify,9999,deny,active
acc--estructura-trineo-cromado,nan: Estructura Trineo Cromado,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ESTRUCTURA-TRINEO-CROMADO,40000.0,shopify,9999,deny,active
acc--par-brazos-iso,nan: Par Brazos Iso,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PAR-BRAZOS-ISO,17080.0,shopify,9999,deny,active
acc-opcional-cabecero,Opcional: Cabecero ,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO,20000.0,shopify,9999,deny,active
acc--base-cromada,nan: Base Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,22000.0,shopify,9999,deny,active
acc--base-aluminio,nan: Base Aluminio,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,33000.0,shopify,9999,deny,active
acc-opcional-cabecero,Opcional: Cabecero,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO,18000.0,shopify,9999,deny,active
acc--base-cromada,nan: Base cromada ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,22000.0,shopify,9999,deny,active
acc-opcional-cabecero,Opcional: Cabecero,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO,22500.0,shopify,9999,deny,active
acc--base-cromada,nan: Base cromada ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,32100.0,shopify,9999,deny,active
acc--base-cromada,nan: Base Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA,32000.0,shopify,9999,deny,active
acc--base-aluminio,nan: Base Aluminio,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,46600.0,shopify,9999,deny,active
acc--brazo-regulable,nan: Brazo Regulable ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE,26000.0,shopify,9999,deny,active
acc-opcional-cabecero,Opcional: Cabecero,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO,16000.0,shopify,9999,deny,active
acc--base-cromada-600,nan: Base Cromada 600,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-CROMADA-600,22000.0,shopify,9999,deny,active
acc-accesorio-base-aluminio,Accesorio: Base Aluminio,Accesorio opcional de tipo Accesorio proveniente de Magento.,Magento Import,Accesorio,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,38000.0,shopify,9999,deny,active
acc--ruedas-desmopan-para-piso-flotante,nan: Ruedas Desmopan (Para Piso Flotante),Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN-PARA-PISO-FLOTANTE,11000.0,shopify,9999,deny,active
acc--desplazador-de-asiento-en-profundidad,nan: Desplazador de Asiento en Profundidad,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-DESPLAZADOR-DE-ASIENTO-EN-PROFUNDIDAD,16000.0,shopify,9999,deny,active
acc--base-aluminio,nan: Base Aluminio,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,38000.0,shopify,9999,deny,active
acc--brazos-regulables-3d-pu,nan: Brazos Regulables 3D PU,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-3D-PU,22000.0,shopify,9999,deny,active
acc-opcional-ruedas-desmopan-para-piso-flotante,Opcional: Ruedas Desmopan (Para Piso Flotante),Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN-PARA-PISO-FLOTANTE,11000.0,shopify,9999,deny,active
acc--desplazador-de-asiento,nan: Desplazador de Asiento,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-DESPLAZADOR-DE-ASIENTO,20000.0,shopify,9999,deny,active
acc--cabecero,nan: Cabecero,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-CABECERO,38000.0,shopify,9999,deny,active
acc--eco-clean,nan: Eco Clean,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ECO-CLEAN,22000.0,shopify,9999,deny,active
acc--base-aluminio,nan: Base Aluminio ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BASE-ALUMINIO,33000.0,shopify,9999,deny,active
acc-opcional-mecanismo-4-posiciones-de-bloqueo,Opcional: Mecanismo 4 posiciones de bloqueo,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-MECANISMO-4-POSICIONES-DE-BLOQUEO,9000.0,shopify,9999,deny,active
