estacion-trabajo-grupal-para-4-personas-corchete-abierto,"[""acc-opcionales-4-cajoneras-m\u00f3vil-laminada-3-con-cajones"", ""acc--26-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60-cm-profundidad"", ""acc--28-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60-cm-profundidad"", ""acc--34-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70-cm-profundidad"", ""acc--30-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70-cm-profundidad"", ""acc--32-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70-cm-profundidad""]"
estacion-trabajo-grupal-para-6-personas-corchete-abierto,"[""acc--48-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70cm-profundidad"", ""acc--42-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60cm-profundidad"", ""acc-opcionales-pack-6-cajoneras-m\u00f3vil-laminada-3-con-cajones"", ""acc--45-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70cm-profundidad"", ""acc--51-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70cm-profundidad"", ""acc--39-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60cm-profundidad""]"
estacion-trabajo-grupal-para-2-personas-corchete-cerrado,"[""acc--16-mts-ancho-x-70-cm-profundidad"", ""acc--14-mts-ancho-x-60-cm-profundidad"", ""acc--13-mts-ancho-x-60-cm-profundidad"", ""acc-opcionales-2-cajoneras-m\u00f3vil-laminada-3-cajones"", ""acc--15-mts-ancho-x-70-cm-profundidad"", ""acc--17-mts-ancho-x-70-cm-profundidad""]"
estacion-trabajo-grupal-para-4-personas-corchete-cerrado,"[""acc-opcionales-4-cajoneras-m\u00f3vil-laminada-3-con-cajones"", ""acc--26-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60-cm-profundidad"", ""acc--28-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60-cm-profundidad"", ""acc--34-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70-cm-profundidad"", ""acc--30-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70-cm-profundidad"", ""acc--32-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70-cm-profundidad""]"
estacion-trabajo-grupal-para-6-personas-corchete-cerrado,"[""acc--48-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70cm-profundidad"", ""acc--42-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60cm-profundidad"", ""acc-opcionales-pack-6-cajoneras-m\u00f3vil-laminada-3-con-cajones"", ""acc--45-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70cm-profundidad"", ""acc--51-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70cm-profundidad"", ""acc--39-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60cm-profundidad""]"
taburete-cosmos,"[""acc--blanco""]"
banqueta-iso-pata-splitz-cromada,"[""acc--6"", ""acc--4"", ""acc--5"", ""acc--blanco"", ""acc--3""]"
banqueta-logan-respaldo-polipropileno-asiento-tapizado,"[""acc--4"", ""acc--nordic-4-cuerpos"", ""acc--nordic-3-cuerpos"", ""acc--nordic-2-cuerpos"", ""acc--3""]"
silla-logan-cajero,"[""acc--aro-cromado"", ""acc--nordic""]"
silla-tullio-negra,"[""acc--base-aluminio"", ""acc--brazos-regulables-3d-en-pu"", ""acc--nordic"", ""acc--desplazador-de-asiento"", ""acc-opcionales-ruedas-desmopan-para-piso-flotante"", ""acc--cabecero""]"
