Parent_SKU,Accessory_Group,Accessory_Title,Accessory_Handle
VC420,,4 Patas Cromadas,acc--4-patas-cromadas
VC423,,Si,acc--si
VC423,Opcionales ,Ruedas desmopan ,acc-opcionales-ruedas-desmopan
VC425,,Si,acc--si
VC427,,Par de Brazos Negros,acc--par-de-brazos-negros
VC427,,Nordic,acc--nordic
VC428,,Par de Brazos Negros,acc--par-de-brazos-negros
VC428,,Nordic,acc--nordic
VC429,,Par de Brazos Negros,acc--par-de-brazos-negros
VC429,,Nordic,acc--nordic
VC430,,Par de Brazos Negros,acc--par-de-brazos-negros
VC431,,120 cm Ancho x 60 cm Profundidad,acc--120-cm-ancho-x-60-cm-profundidad
VC431,,130 cm Ancho x 60 cm Profundidad,acc--130-cm-ancho-x-60-cm-profundidad
VC431,,140 cm Ancho x 60 cm Profundidad,acc--140-cm-ancho-x-60-cm-profundidad
VC431,,150 cm Ancho x 60 cm Profundidad,acc--150-cm-ancho-x-60-cm-profundidad
VC431,,160 cm Ancho x 60 cm Profundidad,acc--160-cm-ancho-x-60-cm-profundidad
VC431,,170 cm Ancho x 60 cm Profundidad,acc--170-cm-ancho-x-60-cm-profundidad
VC434,Opcion Cuero Natural,Color a Eleccion,acc-opcion-cuero-natural-color-a-eleccion
VC435,,Base Cromada,acc--base-cromada
VC438,Opcional,Tapiz Cuero Natural (Consultar Colores Disponibles),acc-opcional-tapiz-cuero-natural-consultar-colores-disponibles
VC439,Opcional,Tapiz Cuero Natural (Consultar Colores Disponibles),acc-opcional-tapiz-cuero-natural-consultar-colores-disponibles
VC442,,Par de Brazos Negros,acc--par-de-brazos-negros
VC443,,Par de Brazos Negros,acc--par-de-brazos-negros
VC443,,Nordic,acc--nordic
VC444,,Ancho 39cm x Profundidad 50cm x Altura 60cm,acc--ancho-39cm-x-profundidad-50cm-x-altura-60cm
VC447,,Con Cubierta Metálica,acc--con-cubierta-metálica
VC448,,"1,3 mts Ancho x 60 cm Profundidad",acc--13-mts-ancho-x-60-cm-profundidad
VC448,,"1,4 mts Ancho x 60 cm Profundidad",acc--14-mts-ancho-x-60-cm-profundidad
VC448,,"1,5 mts Ancho x 70 cm Profundidad",acc--15-mts-ancho-x-70-cm-profundidad
VC448,,"1,6 mts Ancho x 70 cm Profundidad",acc--16-mts-ancho-x-70-cm-profundidad
VC448,,"1,7 mts Ancho x 70 cm Profundidad",acc--17-mts-ancho-x-70-cm-profundidad
VC448,Opcionales,2 Cajoneras Móvil Laminada 3 Cajones,acc-opcionales-2-cajoneras-móvil-laminada-3-cajones
VC449,,"2,6 mts Ancho x 1,2 mts Profundidad (Puesto de 1,3 mts ancho por 60 cm profundidad)",acc--26-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60-cm-profundidad
VC449,,"2,8 mts Ancho x 1,2 mts Profundidad (Puesto de 1,4 mts ancho por 60 cm profundidad)",acc--28-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60-cm-profundidad
VC449,,"3,0 mts Ancho x 1,4 mts Profundidad (Puesto de 1,5 mts ancho por 70 cm profundidad)",acc--30-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70-cm-profundidad
VC449,,"3,2 mts Ancho x 1,4 mts Profundidad (Puesto de 1,6 mts ancho por 70 cm profundidad)",acc--32-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70-cm-profundidad
VC449,,"3,4 mts Ancho x 1,4 mts Profundidad (Puesto de 1,7 mts ancho por 70 cm profundidad)",acc--34-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70-cm-profundidad
VC449,Opcionales,4 Cajoneras Móvil Laminada 3 con Cajones,acc-opcionales-4-cajoneras-móvil-laminada-3-con-cajones
VC450,,"3,9 mts Ancho x 1,2 mts Profundidad (Puesto de 1,3 mts ancho por 60cm profundidad)",acc--39-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60cm-profundidad
VC450,,"4,2 mts Ancho x 1,2 mts Profundidad (Puesto de 1,4 mts ancho por 60cm profundidad)",acc--42-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60cm-profundidad
VC450,,"4,5 mts Ancho x 1,4 mts Profundidad (Puesto de 1,5 mts ancho por 70cm profundidad)",acc--45-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70cm-profundidad
VC450,,"4,8 mts Ancho x 1,4 mts Profundidad (Puesto de 1,6 mts ancho por 70cm profundidad)",acc--48-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70cm-profundidad
VC450,,"5,1 mts Ancho x 1,4 mts Profundidad (Puesto de 1,7 mts ancho por 70cm profundidad)",acc--51-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70cm-profundidad
VC450,Opcionales,Pack 6 Cajoneras Móvil Laminada 3 con Cajones,acc-opcionales-pack-6-cajoneras-móvil-laminada-3-con-cajones
VC451,,"1,3 mts Ancho x 60 cm Profundidad",acc--13-mts-ancho-x-60-cm-profundidad
VC451,,"1,4 mts Ancho x 60 cm Profundidad",acc--14-mts-ancho-x-60-cm-profundidad
VC451,,"1,5 mts Ancho x 70 cm Profundidad",acc--15-mts-ancho-x-70-cm-profundidad
VC451,,"1,6 mts Ancho x 70 cm Profundidad",acc--16-mts-ancho-x-70-cm-profundidad
VC451,,"1,7 mts Ancho x 70 cm Profundidad",acc--17-mts-ancho-x-70-cm-profundidad
VC451,Opcionales,2 Cajoneras Móvil Laminada 3 Cajones,acc-opcionales-2-cajoneras-móvil-laminada-3-cajones
VC452,,"2,6 mts Ancho x 1,2 mts Profundidad (Puesto de 1,3 mts ancho por 60 cm profundidad)",acc--26-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60-cm-profundidad
VC452,,"2,8 mts Ancho x 1,2 mts Profundidad (Puesto de 1,4 mts ancho por 60 cm profundidad)",acc--28-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60-cm-profundidad
VC452,,"3,0 mts Ancho x 1,4 mts Profundidad (Puesto de 1,5 mts ancho por 70 cm profundidad)",acc--30-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70-cm-profundidad
VC452,,"3,2 mts Ancho x 1,4 mts Profundidad (Puesto de 1,6 mts ancho por 70 cm profundidad)",acc--32-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70-cm-profundidad
VC452,,"3,4 mts Ancho x 1,4 mts Profundidad (Puesto de 1,7 mts ancho por 70 cm profundidad)",acc--34-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70-cm-profundidad
VC452,Opcionales,4 Cajoneras Móvil Laminada 3 con Cajones,acc-opcionales-4-cajoneras-móvil-laminada-3-con-cajones
VC453,,"3,9 mts Ancho x 1,2 mts Profundidad (Puesto de 1,3 mts ancho por 60cm profundidad)",acc--39-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60cm-profundidad
VC453,,"4,2 mts Ancho x 1,2 mts Profundidad (Puesto de 1,4 mts ancho por 60cm profundidad)",acc--42-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60cm-profundidad
VC453,,"4,5 mts Ancho x 1,4 mts Profundidad (Puesto de 1,5 mts ancho por 70cm profundidad)",acc--45-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70cm-profundidad
VC453,,"4,8 mts Ancho x 1,4 mts Profundidad (Puesto de 1,6 mts ancho por 70cm profundidad)",acc--48-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70cm-profundidad
VC453,,"5,1 mts Ancho x 1,4 mts Profundidad (Puesto de 1,7 mts ancho por 70cm profundidad)",acc--51-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70cm-profundidad
VC453,Opcionales,Pack 6 Cajoneras Móvil Laminada 3 con Cajones,acc-opcionales-pack-6-cajoneras-móvil-laminada-3-con-cajones
VC454,,Blanco,acc--blanco
VC456,,3,acc--3
VC456,,4,acc--4
VC456,,5,acc--5
VC456,,6,acc--6
VC456,,Blanco,acc--blanco
VC466,,3,acc--3
VC466,,4,acc--4
VC466,,Nordic 2 cuerpos,acc--nordic-2-cuerpos
VC466,,Nordic 3 cuerpos,acc--nordic-3-cuerpos
VC466,,Nordic 4 cuerpos,acc--nordic-4-cuerpos
VC479,,Aro Cromado ,acc--aro-cromado
VC479,,Nordic,acc--nordic
VC480,,Base Aluminio,acc--base-aluminio
VC480,,Brazos Regulables 3D en PU,acc--brazos-regulables-3d-en-pu
