Handle,Title,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Image Command
silla-lady,Silla Lady Negra,Title,Default Title,VC209,103300.0,https://vicca.cl/media/catalog/product/l/a/la5.jpg,MERGE
silla-lady-blanca-reclinable,Silla Lady Gris,Title,Default Title,VC210,126000.0,https://vicca.cl/media/catalog/product/b/4/b4_2.jpg,MERGE
silla-logic,Silla Logic,Title,Default Title,VC212,86072.0,https://vicca.cl/media/catalog/product/l/o/lo3.jpg,MERGE
silla-matrix-alta-pivotal,Silla Matrix Alta Pivotal,Title,Default Title,VC214,153300.0,https://vicca.cl/media/catalog/product/s/i/silla_matrix_alta_operativa_tapizada_pivotal_1_vicca.jpg,MERGE
silla-torino-1-alta-pivotal,Silla Torino 1 Alta Pivotal,Title,Default Title,VC222,88000.0,https://vicca.cl/media/catalog/product/5/9/5967492861aff.jpg,MERGE
silla-rudy-alta-pivotal,Silla Rudy Alta Pivotal,Title,Default Title,VC218,75000.0,https://vicca.cl/media/catalog/product/s/i/silla_rudy_alta_operativa_tapizada_pivotal_1_vicca.jpg,MERGE
silla-rudy-media-pivotal,Silla Rudy Media Pivotal,Title,Default Title,VC219,75000.0,https://vicca.cl/media/catalog/product/s/i/silla_rudy_media_operativa_tapizada_pivotal_1_vicca.jpg,MERGE
silla-torino-alta-pivotal,Silla Torino Alta Pivotal,Title,Default Title,VC223,89900.0,https://vicca.cl/media/catalog/product/2/4/247_torino-alta_02-300x300_1.jpg,MERGE
silla-torino-media-pivotal,Silla Torino Media Pivotal,Title,Default Title,VC224,89900.0,https://vicca.cl/media/catalog/product/t/o/to3_2.jpg,MERGE
silla-dream-malla,Silla Dream Malla,Title,Default Title,VC230,137000.0,https://vicca.cl/media/catalog/product/s/i/silla_dream_visita_reunion_capacitacion_respaldo_malla_asiento_tapizado_1_vicca.jpg,MERGE
silla-dream-tapizada,Silla Dream Tapizada,Title,Default Title,VC231,108000.0,https://vicca.cl/media/catalog/product/s/i/silla_dream_tapizada_visita_reunion_capacitacion_1_vicca.jpg,MERGE
silla-dream-tapizada-trineo,Silla Dream Tapizada Trineo,Title,Default Title,VC232,150000.0,https://vicca.cl/media/catalog/product/s/i/silla_dream_visita_reunion_respaldo_y_asiento_tapizado_2_vicca.jpg,MERGE
silla-isonet,Silla Isonet,Title,Default Title,VC240,55500.0,https://vicca.cl/media/catalog/product/i/4/i4.jpg,MERGE
silla-flex,Silla Flex,Title,Default Title,VC235,136250.0,https://vicca.cl/media/catalog/product/f/5/f5_2.jpg,MERGE
silla-iso-revolution-tapizada,Silla Iso Revolution Tapizada,Title,Default Title,VC237,78000.0,https://vicca.cl/media/catalog/product/s/i/silla_iso_revolution_visita_tapizada_completa_1_vicca.jpg,MERGE
