handle,title,tipo_actual,tipo_nuevo,accion
acc-general-crema,General: Crema,General,General,sin cambio
acc-general-cromada,General: Cromada,General,General,sin cambio
acc-general-cromadas,General: Cromadas,General,General,sin cambio
acc-general-cubierta-blanca,General: Cubierta Blanca,General,General,sin cambio
acc-general-cubierta-negra,General: Cubierta Negra,General,General,sin cambio
acc-general-desplazador,General: Desplazador,General,General,sin cambio
acc-general-desplazador-de-asiento,General: Desplazador de Asiento,General,General,sin cambio
acc-general-desplazador-de-asiento-en-profundidad,General: Desplazador de Asiento en Profundidad,General,General,sin cambio
acc-general-diametro-100-cm,General: Diametro 100 CM,General,General,sin cambio
acc-general-diametro-80-cm,General: Diametro 80 cm,General,General,sin cambio
acc-general-eco-clean,General: Eco Clean,General,General,sin cambio
acc-general-ecoclean-lavable-antimancha-para-1-cuerpo,General: Ecoclean Lavable Antimancha para 1 cuerpo,General,Color Tapiz,✅ Actualizado
acc-general-ecoclean-lavable-antimancha-para-2-cuerpos,General: Ecoclean Lavable Antimancha para 2 cuerpos,General,Color Tapiz,✅ Actualizado
acc-general-ecoclean-lavable-antimancha-para-3-cuerpos,General: Ecoclean Lavable Antimancha para 3 cuerpos,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero,General: Ecocuero,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-amarillo,General: Ecocuero Amarillo,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-azul-caribe,General: Ecocuero Azul Caribe,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-azul-electrico,General: Ecocuero Azul Eléctrico,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-azul-especial,General: Ecocuero Azul Especial,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-azul-marino,General: Ecocuero Azul Marino,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-azul-rey,General: Ecocuero Azul Rey,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-blanco-marfil,General: Ecocuero Blanco Marfil,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-blanco-plus,General: Ecocuero Blanco Plus,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-burdeo,General: Ecocuero Burdeo,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-cafe,General: Ecocuero Café,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-cafe-moro,General: Ecocuero Cafe Moro,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-cafe-oscuro,General: Ecocuero Cafe Oscuro,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-ecolife,General: Ecocuero Ecolife,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-gris,General: Ecocuero Gris,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-naranjo,General: Ecocuero Naranjo,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-negro,General: Ecocuero Negro,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-negro-plus,General: Ecocuero Negro Plus,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-rojo,General: Ecocuero Rojo,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-tacto-plus,General: Ecocuero Tacto Plus,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-verde,General: Ecocuero Verde,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-verde-manzana,General: Ecocuero Verde Manzana,General,Color Tapiz,✅ Actualizado
acc-general-ecocuero-verde-pistacho,General: Ecocuero Verde Pistacho,General,Color Tapiz,✅ Actualizado
acc-general-ecol-ecocuero,General: Ecol (Ecocuero),General,Color Tapiz,✅ Actualizado
acc-general-elasticity,General: Elasticity,General,General,sin cambio
acc-general-esmeralda,General: Esmeralda,General,General,sin cambio
acc-general-estrella,General: Estrella,General,General,sin cambio
acc-general-estrella-y-aro-cromado,General: Estrella y Aro Cromado,General,General,sin cambio
acc-general-estructura-cromada,General: Estructura Cromada,General,General,sin cambio
acc-general-estructura-gris,General: Estructura Gris,General,Color Respaldo,✅ Actualizado
acc-general-estructura-negra,General: Estructura Negra,General,General,sin cambio
acc-general-estructura-pintada,General: Estructura pintada,General,General,sin cambio
acc-general-estructura-trineo-cromada,General: Estructura Trineo Cromada,General,General,sin cambio
acc-general-estructura-trineo-cromado,General: Estructura Trineo Cromado,General,General,sin cambio
acc-general-grafito,General: Grafito,General,General,sin cambio
acc-general-granadillo,General: Granadillo,General,General,sin cambio
acc-general-grey-cedar,General: Grey Cedar,General,General,sin cambio
acc-general-gris,General: Gris,General,Color Respaldo,✅ Actualizado
acc-general-gris-ultima-unidad,General: Gris (última unidad),General,Color Respaldo,✅ Actualizado
