silla-blaze,"[""acc--base-cromada"", ""acc--base-aluminio-pulido"", ""acc-brazos-brazo-regulable-pp-2d"", ""acc--brazo-regulable-3d-pu"", ""acc-extras-cabecero""]"
silla-q3-malla-negra,"[""acc-opcional-base-aluminio"", ""acc--cabecero"", ""acc--mecanismo-4-posiciones-de-bloqueo"", ""acc--ruedas-desmopan""]"
silla-y10-media-cajero-ecocuero,"[""acc--brazos-fijos-en-pp"", ""acc--brazos-regulables-pp"", ""acc--brazos-regulables-2d-en-tpu"", ""acc--aro-cromado""]"
silla-abuela-colores,"[""acc--con-brazos""]"
silla-bakhita-colores,"[""acc--con-brazos""]"
silla-job-gris-blanca,"[""acc--si""]"
silla-brizza,"[""acc--sincronico-brazos-3d"", ""acc-opcionales-cabecero""]"
silla-ergosit,"[""acc-opcional-cabecero""]"
banqueta-nik,"[""acc--3-cuerpos"", ""acc--4-cuerpos"", ""acc--5-cuerpos"", ""acc-accesorio-revistero""]"
silla-nik-tapizada,"[""acc--patas-cromadas"", ""acc--brazos-fijos""]"
silla-donnina,"[""acc-opcionales-base-aluminio"", ""acc--cabecero""]"
silla-alice-visita-polipropileno,"[""acc--blanco"", ""acc--con-brazos""]"
silla-alice-mixta,"[""acc--blanco"", ""acc--con-brazos""]"
silla-alice-tapizada,"[""acc-brazos-con-brazos""]"
silla-alice-universitaria-polipropileno,"[""acc--blanco""]"
silla-attiva-malla-tapizada,"[""acc-opcional-cabecero-de-ecocuero-o-tela"", ""acc--cabecero-de-cuero-natural"", ""acc--tapiz-cuero-natural-consultar-opcion-de-colores""]"
silla-cosmos,"[""acc--blanco"", ""acc--estructura-cromada""]"
visita-space,"[""acc--blanco""]"
silla-tela,"[""acc-opcional-base-cromada"", ""acc--cabecero""]"
sofa-donnato,"[""acc--2-cuerpos"", ""acc--3-cuerpos""]"
poltrona-aurora,"[""acc-asiento-tapizado-cojin-tapizado-en-tela-verona"", ""acc--cojin-tapizado-en-tela-nordic""]"
silla-twist,"[""acc-opcionales-cabecero""]"
piso-clinico,"[""acc--kit-patines-5-unidades"", ""acc--aro-metalico-negro"", ""acc--estrella-y-aro-cromado""]"
silla-happy-negra,"[""acc--cabecero-negro""]"
banqueta-iso-plastica,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--6"", ""acc--pata-luna-cromada"", ""acc--ecocuero-ecolife""]"
silla-iso-visita-polipropileno,"[""acc--blanco"", ""acc--brazos"", ""acc--paleta-universitaria""]"
silla-spring-visita-polipropileno,"[""acc--blanco"", ""acc--par-de-brazos"", ""acc--paleta-universitaria""]"
silla-isosceles-visita,"[""acc--con-brazos"", ""acc--paleta-universitaria"", ""acc--rejilla-universitaria""]"
silla-goya,"[""acc--base-cromada""]"
silla-torhu,"[""acc-componentes-adicionales-cabecero"", ""acc--base-aluminio""]"
silla-nina,"[""acc-base-base-aluminio""]"
silla-romy-cajero,"[""acc--con-brazos-pp""]"
silla-logan-respaldo-polipropileno-asiento-tapizado,"[""acc--nordic""]"
escritorio-trabajo-individual-recto,"[""acc--13-mts-ancho-x-06-mts-profundidad"", ""acc--14-mts-ancho-x-06-mts-profundidad"", ""acc--15-mts-ancho-x-06-mts-profundidad"", ""acc--16-mts-ancho-x-07-mts-profundidad"", ""acc--17-mts-ancho-x-07-mts-profundidad"", ""acc-opcionales-cajonera-movil-laminada-3-con-cajones""]"
escritorio-trabajo-individual-en-l,"[""acc--16-x-15-mts-06x-05-mts-profundidad"", ""acc--17-x-16-mts-07x-06-mts-profundidad"", ""acc-opcionales-cajonera-movil-laminada-3-con-cajones""]"
escritorio-trabajo-individual-recto-base-melamina,"[""acc--13-mts-ancho-x-06-mts-profundidad"", ""acc--14-mts-ancho-x-06-mts-profundidad"", ""acc--15-mts-ancho-x-06-mts-profundidad"", ""acc--16-mts-ancho-x-07-mts-profundidad"", ""acc--17-mts-ancho-x-07-mts-profundidad"", ""acc-opcionales-cajonera-movil-laminada-3-con-cajones""]"
escritorio-trabajo-individual-recto-base-melamina,"[""acc--13-mts-ancho-x-06-mts-profundidad"", ""acc--14-mts-ancho-x-06-mts-profundidad"", ""acc--15-mts-ancho-x-06-mts-profundidad"", ""acc--16-mts-ancho-x-07-mts-profundidad"", ""acc--17-mts-ancho-x-07-mts-profundidad""]"
mesa-reunion-redonda,"[""acc--70-cms-de-diametro"", ""acc--80-cms-de-diametro"", ""acc--90-cms-de-diametro"", ""acc--100-cms-de-diametro""]"
mesa-reunion-rectangular,"[""acc--13-mts-ancho-x-06-mts-profundidad"", ""acc--14-mts-ancho-x-06-mts-profundidad"", ""acc--15-mts-ancho-x-06-mts-profundidad"", ""acc--16-mts-ancho-x-07-mts-profundidad"", ""acc--17-mts-ancho-x-07-mts-profundidad""]"
banqueta-metalica-pata-splitz,"[""acc--3"", ""acc--4""]"
silla-ergodream,"[""acc--base-aluminio"", ""acc--base-aluminio-piston-140-mm""]"
silla-isonet-universitaria,"[""acc--2-brazos-mas-paleta"", ""acc--eco-clean""]"
silla-alice-mixta-universitaria,"[""acc--blanco""]"
silla-logan-mixta-trineo,"[""acc--par-de-brazos-negros"", ""acc--nordic""]"
silla-nova-iso-italiana-negra,"[""acc--par-brazos-iso""]"
silla-oxford-gris,"[""acc--con-cabecero""]"
mesa-orion,"[""acc--60-cm"", ""acc--100-cm""]"
poltrona-vito,"[""acc--base-estrellaruedas""]"
silla-matte,"[""acc-base-base-aluminio""]"
sofa-alfa,"[""acc--2-cuerpos"", ""acc--3-cuerpos""]"
silla-blaze,"[""acc--base-cromada"", ""acc--base-aluminio-pulido"", ""acc-brazos-brazo-regulable-pp-2d"", ""acc--brazo-regulable-3d-pu"", ""acc-extras-cabecero""]"
